order_id,order_date,customer_email,customer_name,shipping_address,product_name,category,quantity,unit_price,unit_cost,region,channel,status
10000,2024-02-22,johnsonjoshua@example.org,Brian Yang,"01338 Anna Stravenue Suite 379, Lisatown, WV 21427",Webcam 1080p,Electronics,1,89.99,39.99,Northeast,web,completed
10001,2024-04-21,jpeterson@example.org,Gabrielle Davis,"407 Teresa Lane Apt. 849, Barbaraland, AZ 87174",Whiteboard 24x36,Office,1,69.99,34.99,Northeast,web,completed
10002,2024-11-28,kendragalloway@example.org,Jamie Chavez,"5341 Amanda Gardens, South Noah, SC 90699",Notebook 200pg,Office,1,14.99,7.99,Midwest,mobile,completed
10003,2024-01-04,gabriellecameron@example.org,Andrew Stewart,"537 Wilkerson Row, Thomasberg, IA 98148",Whiteboard 24x36,Office,1,69.99,34.99,Midwest,mobile,completed
10004,2024-06-21,julie69@example.com,Zachary Taylor,"22691 James Mountain, Tashatown, TX 94967",Ergonomic Mouse,Electronics,1,69.99,34.99,Southwest,web,completed
10005,2024-11-05,maldonadoamanda@example.com,Gina Carter,"482 Monica Hills, East Nathaniel, GA 71198",Webcam 1080p,Electronics,3,89.99,39.99,Northeast,web,completed
10006,2024-07-12,georgetracy@example.org,Sherry Decker,"91171 David Mountains, West Allison, PA 55962",Standing Desk Mat,Office,1,59.99,29.99,West,mobile,cancelled
10007,2024-07-04,sarahcampos@example.net,Eric Carney,"713 Caleb Brooks Apt. 930, Lake Crystalbury, CA 04618",USB-C Hub,Electronics,3,59.99,29.99,Midwest,mobile,cancelled
10008,2024-05-28,chad34@example.net,Mr. Nathaniel Khan,"6311 Gomez Loop, Shieldston, TX 86150",Sticky Notes Bulk,Office,2,18.99,9.99,Northeast,web,completed
10009,2024-11-21,brownjessica@example.org,Connor West,"3178 Brent Plains Apt. 132, Tuckerborough, VI 53066",USB-C Hub,Electronics,1,59.99,29.99,West,mobile,completed
10010,2024-12-25,martinaaron@example.com,Richard Gibson,"34309 Julie Centers Apt. 978, North Susan, CO 24857",Phone Stand,Accessories,2,19.99,9.99,Northeast,web,completed
10011,2024-03-24,larsonemma@example.org,Todd Hudson,"169 Donovan Ford, Johnfurt, DC 88540",USB-C Hub,Electronics,2,59.99,29.99,Southwest,mobile,completed
10012,2024-12-16,stephen10@example.com,Kristine Garcia,"51354 Samuel Plains Suite 980, Sarahville, FM 18102",Portable Charger,Electronics,2,59.99,29.99,Southeast,email_campaign,cancelled
